"seq_unique","PCs","Memory_Bcells"
"seq1",3,0
"seq10",7,0
"seq11",1,0
"seq12",5,0
"seq13",1,0
"seq14",2,0
"seq15",1,0
"seq16",1,0
"seq17",2,0
"seq18",1,0
"seq19",1,0
"seq2",1,0
"seq20",3,0
"seq21",1,0
"seq22",1,0
"seq23",2,0
"seq24",2,0
"seq25",1,0
"seq26",1,0
"seq27",3,0
"seq28",6,0
"seq29",1,0
"seq3",1,1
"seq30",1,0
"seq31",1,0
"seq32",1,0
"seq33",2,0
"seq34",1,0
"seq35",1,0
"seq36",1,0
"seq37",1,0
"seq38",1,0
"seq39",1,0
"seq4",1,0
"seq40",2,0
"seq41",1,0
"seq42",1,0
"seq43",1,0
"seq5",1,0
"seq6",7,0
"seq7",1,0
"seq8",1,0
"seq9",5,0
