"seq_unique","HH117-SI-MILF-INF","HH117-SI-PP-nonINF_Fol-2","HH117-SILP-INF","HH117-SILP-nonINF","HH117-SI-PP-nonINF_Fol-3","HH117-SI-MILF-nonINF","HH117-SI-PP-nonINF_Fol-18","HH117-SI-PP-nonINF_Fol-4"
"seq1",1,1,6,4,0,0,0,0
"seq10",0,0,0,1,1,0,0,0
"seq11",0,0,2,2,0,0,0,0
"seq12",0,0,2,0,0,0,0,0
"seq13",0,0,1,0,0,0,0,0
"seq14",0,0,9,4,0,0,0,0
"seq15",0,0,1,0,0,0,0,0
"seq16",0,0,1,0,0,0,0,0
"seq17",0,0,1,0,0,0,0,0
"seq18",0,0,1,0,0,0,0,0
"seq19",0,0,0,2,0,0,0,0
"seq2",2,0,0,0,0,0,0,0
"seq3",1,0,0,2,0,0,0,0
"seq4",2,1,7,5,0,9,1,1
"seq5",5,0,2,0,0,2,0,0
"seq6",1,0,0,2,0,0,0,0
"seq7",1,0,0,0,0,0,0,0
"seq8",0,0,0,1,0,1,0,0
"seq9",0,0,0,0,0,0,0,1
