"seq_unique","IGHA1","IGHA2","IGHM","NA"
"seq1",1,1,1,0
"seq10",1,0,6,0
"seq11",1,0,0,0
"seq12",5,0,0,0
"seq13",1,0,0,0
"seq14",2,0,0,0
"seq15",0,0,1,0
"seq16",0,0,1,0
"seq17",1,0,0,1
"seq18",1,0,0,0
"seq19",0,1,0,0
"seq2",0,1,0,0
"seq20",3,0,0,0
"seq21",0,0,1,0
"seq22",0,0,1,0
"seq23",0,0,2,0
"seq24",0,0,2,0
"seq25",1,0,0,0
"seq26",0,0,1,0
"seq27",2,0,1,0
"seq28",2,1,1,2
"seq29",1,0,0,0
"seq3",1,0,1,0
"seq30",0,0,1,0
"seq31",0,0,1,0
"seq32",0,0,1,0
"seq33",1,0,0,0
"seq34",0,0,1,0
"seq35",1,0,0,0
"seq36",1,0,0,0
"seq37",0,0,2,0
"seq38",0,1,0,0
"seq39",0,0,1,0
"seq4",0,0,1,0
"seq5",1,0,0,0
"seq6",0,0,7,0
"seq7",1,0,0,0
"seq8",1,0,0,0
"seq9",1,0,4,0
